A_c,Access_prop1,Access_prop2,Acres,Addl_mo_fee,Addr,All_inc,Alt_power1,Alt_power2,Apt_num,Area,Area_code,Ass_year,Assignment,Bath_tot,Br,Br_plus,Bsmt1_out,Bsmt2_out,Cable,Cac_inc,Cd,Central_vac,Cert_lvl,Cndsold_xd,Com_coopb,Comel_inc,Community,Community_code,Comp_pts,Cond,Constr1_out,Constr2_out,County,Cross_st,Den_fr,Depth,Disp_addr,Dom,Drive,Dt_sus,Dt_ter,Easement_rest1,Easement_rest2,Easement_rest3,Easement_rest4,Elec,Elevator,Energy_cert,Extras,Farm_agri,Fpl_num,Fractional_ownership,Front_ft,Fuel,Furnished,Gar_spaces,Gar_type,Gas,Green_pis,Handi_equipped,Heat_inc,Heating,Hydro_inc,Input_date,Internet,Irreg,Kit_plus,Laundry,Laundry_lev,Ld,Lease,Lease_term,Legal_desc,Level1,Level10,Level11,Level12,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Link_comment,Link_yn,Lot_fr_inc,Lotsz_code,Lp_dol,Lsc,Lse_terms,Ml_num,Mmap_col,Mmap_page,Mmap_row,Municipality,Municipality_code,Municipality_district,Num_kit,Occ,Oh_date1,Oh_date2,Oh_date3,Oh_date4,Oh_date5,Oh_date6,Oh_dt_stamp,Oh_from1,Oh_from2,Oh_from3,Oh_from4,Oh_from5,Oh_from6,Oh_Link1,Oh_Link2,Oh_Link3,Oh_Link4,Oh_Link5,Oh_Link6,Oh_to1,Oh_to2,Oh_to3,Oh_to4,Oh_to5,Oh_to6,Oh_Type1,Oh_Type2,Oh_Type3,Oh_Type4,Oh_Type5,Oh_Type6,Orig_dol,Oth_struc1_out,Oth_struc2_out,Outof_area,Parcel_id,Park_chgs,Park_spcs,Pay_freq,Perc_dif,Pix_updt,Pool,Portion_lease_comments,Portion_property_lease1_out,Portion_property_lease2_out,Portion_property_lease3_out,Portion_property_lease4_out,Portion_property_lease_srch,Poss_date,Potl,Pr_lsc,Prkg_inc,Prop_feat1_out,Prop_feat2_out,Prop_feat3_out,Prop_feat4_out,Prop_feat5_out,Prop_feat6_out,Prop_mgmt,Pvt_ent,Retirement,Rltr,Rm10_dc1_out,Rm10_dc2_out,Rm10_dc3_out,Rm10_len,Rm10_out,Rm10_wth,Rm11_dc1_out,Rm11_dc2_out,Rm11_dc3_out,Rm11_len,Rm11_out,Rm11_wth,Rm12_dc1_out,Rm12_dc2_out,Rm12_dc3_out,Rm12_len,Rm12_out,Rm12_wth,Rm1_dc1_out,Rm1_dc2_out,Rm1_dc3_out,Rm1_len,Rm1_out,Rm1_wth,Rm2_dc1_out,Rm2_dc2_out,Rm2_dc3_out,Rm2_len,Rm2_out,Rm2_wth,Rm3_dc1_out,Rm3_dc2_out,Rm3_dc3_out,Rm3_len,Rm3_out,Rm3_wth,Rm4_dc1_out,Rm4_dc2_out,Rm4_dc3_out,Rm4_len,Rm4_out,Rm4_wth,Rm5_dc1_out,Rm5_dc2_out,Rm5_dc3_out,Rm5_len,Rm5_out,Rm5_wth,Rm6_dc1_out,Rm6_dc2_out,Rm6_dc3_out,Rm6_len,Rm6_out,Rm6_wth,Rm7_dc1_out,Rm7_dc2_out,Rm7_dc3_out,Rm7_len,Rm7_out,Rm7_wth,Rm8_dc1_out,Rm8_dc2_out,Rm8_dc3_out,Rm8_len,Rm8_out,Rm8_wth,Rm9_dc1_out,Rm9_dc2_out,Rm9_dc3_out,Rm9_len,Rm9_out,Rm9_wth,Rms,Rooms_plus,Rural_svc1,Rural_svc2,Rural_svc3,Rural_svc4,Rural_svc5,S_r,Sewage1,Sewage2,Sewer,Shore_allow,Shoreline1,Shoreline2,Shoreline_exp,Sp_dol,Spec_des1_out,Spec_des2_out,Spec_des3_out,Spec_des4_out,Spec_des5_out,Spec_des6_out,Sqft,St,St_dir,St_num,St_sfx,Status,Style,Taxes,Td,Timestamp_sql,Tot_park_spcs,Tour_url,Tv,Type_own1_out,Type_own_srch,Uffi,Unavail_dt,Util_cable,Util_tel,Vend_pis,Vtour_updt,Water,Water_acc_bldg1,Water_acc_bldg2,Water_body,Water_del_feat1,Water_del_feat2,Water_feat1,Water_feat2,Water_feat3,Water_feat4,Water_feat5,Water_front,Water_inc,Water_type,Waterfront,Wcloset_p1,Wcloset_p2,Wcloset_p3,Wcloset_p4,Wcloset_p5,Wcloset_t1,Wcloset_t1lvl,Wcloset_t2,Wcloset_t2lvl,Wcloset_t3,Wcloset_t3lvl,Wcloset_t4,Wcloset_t4lvl,Wcloset_t5,Wcloset_t5lvl,Wtr_suptyp,Xd,Xdtd,Yr,Yr_built,Zip,Zoning,Ad_text
,,,.50-1.99,,Lot 18 Shawnee Tr,,,,,USA,Z00,,,0,,,,,,,,,,,2.50%,,,,E,,,,,Happy Valley Church/Old Villa,,0,Y,380,None,,,,,,,Y,,,Seller Will Provide Financing For Over 90% Of Purchase Price!,,,,0.74,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,"Lot 18, Landlot 445&492, 2nd Dist,3rd Sect, Ga,Usa",,,,,,,,,,,,,,,,Acres,69990,Pc,,Z5977527,,,,Out of Area,Z00.21,Out of Area,,Tba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64500,,,Dallas,,,,,,,None,,,,,,,,,New,,Cul De Sac,,,,,,,,,"CENTURY 21 HERITAGE GROUP LTD., BROKERAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Shawnee,,Lot 18,Tr,A,,312.84,,04:10.0,,,,Vacant Land,.V.,,,A,Y,N,,Municipal,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2022,,,R2,"Seller Financing Available! Beautiful Well Treed Estate Building Lot. Easy 25 Minutes To Atlanta, Ga. Approx. 3/4 Acre In Upscale Wynchester Station Subdivision Near Trail System And Retail Commercial And Medical Facilities, Many Area Amenities. Ideal For Building Your Dream Home Or Investment."
,,,< .50,,Lot 9 Santa Cruz Crt,,,,,USA,Z00,,,0,,,,,,,,,,,2.50%,,,,S,,,,,,,0,Y,380,None,,,,,,,Y,,,Seller Will Provide Financing For Over 90% Of Purchase Price!,,,,0.48,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,"Lot 9, Landlot 445&492, 2nd Dist, 3rd Sect, Ga,Usa",,,,,,,,,,,,,,,,Acres,69990,Pc,,Z5977531,,,,Out of Area,Z00.21,Out of Area,,Tba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64500,,,Dallas,,,,,,,None,,,,,,,,,New,,Cul De Sac,,,,,,,,,"CENTURY 21 HERITAGE GROUP LTD., BROKERAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Santa Cruz,,Lot 9,Crt,A,,312.84,,04:10.0,,,,Vacant Land,.V.,,,A,Y,N,,Municipal,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2022,,,R2,"Seller Financing Available! Beautiful Well Treed Estate Building Lot. Easy 25 Minutes To Atlanta, Ga. Approx. ? Acre In Upscale Wynchester Station Subdivision Near Trail System And Retail Commercial And Medical Facilities, Many Area Amenities. Ideal For Building Your Dream Home Or Investment."
,,,.50-1.99,,Lot 11 Santa Cruz Crt,,,,,USA,Z00,,,0,,,,,,,,,,,2.50%,,,,E,,,,,Happy Valley Church/Old Villa,,0,Y,380,None,,,,,,,Y,,,Seller Will Provide Financing For Over 90% Of Purchase Price!,,,,0.67,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,"Lot 11, Landlot 445&492, 2nd Dist,3rd Sect, Ga,Usa",,,,,,,,,,,,,,,,Acres,69990,Pc,,Z5977533,,,,Out of Area,Z00.21,Out of Area,,Tba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69500,,,Dallas,,,,,,,None,,,,,,,,,New,,Cul De Sac,,,,,,,,,"CENTURY 21 HERITAGE GROUP LTD., BROKERAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Santa Cruz,,Lot 11,Crt,A,,312.84,,04:12.0,,,,Vacant Land,.V.,,,A,Y,N,,Municipal,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2022,,,R2,"Seller Financing Available! Beautiful Well Treed Estate Building Lot. Easy 25 Minutes To Atlanta, Ga. Approx. 2/3 Acre In Upscale Wynchester Station Subdivision Near Trail System And Retail Commercial And Medical Facilities, Many Area Amenities. Ideal For Building Your Dream Home Or Investment."
,,,.50-1.99,,Lot 17 Shawnee Tr,,,,,USA,Z00,,,0,,,,,,,,,,,2.50%,,,,N,,,,,Happy Valley Church/Old Villa,,0,Y,380,None,,,,,,,Y,,,Seller Will Provide Financing For Over 90% Of Purchase Price!,,,,0.72,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,"Lot 17, Landlot 445&492, 2nd Dist,3rd Sect, Ga,Usa",,,,,,,,,,,,,,,,Acres,69990,Pc,,Z5979089,,,,Out of Area,Z00.21,Out of Area,,Tba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59500,,,Dallas,,,,,,41:23.0,None,,,,,,,,,New,,Cul De Sac,,,,,,,,,"CENTURY 21 HERITAGE GROUP LTD., BROKERAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Shawnee,,Lot 17,Tr,A,,312.84,,04:10.0,,,,Vacant Land,.V.,,,A,Y,N,,Municipal,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2022,,,R2,"Seller Financing Available! Beautiful Well Treed Estate Building Lot. Easy 25 Minutes To Atlanta, Ga. Approx. 2/3 Acre In Upscale Wynchester Station Subdivision Near Trail System And Retail Commercial And Medical Facilities, Many Area Amenities. Ideal For Building Your Dream Home Or Investment."
,Other,,25-49.99,,15140 10th Concession Rd,,Other,,,York,9,,,0,3,,,,,,,,,,2.5% + Hst With Thanks!,,Rural King,09.01.0040,W,,Wood,,Ontario,Hwy 27 & 16th Side Road,,0,Y,154,,,,Environ Protectd,Moraine,,,N,,,Property Being Sold As Vacant Land/No Services To Property. Property Taxes Reflect Managed Forest Tax Incentive Program/New Buyer-Yearly Application *Property is Wholly Within The Toronto Reg Cons Authority & Oak Ridges Moraine*,,Y,,480,Wood,,,None,N,,,,Other,,19:57.0,Y,Irregular- 38 Acres/See Aerial Photo,,,,00:00.0,,,Pt E1/2 Lt 20 Con 10 King As In R266187*,Ground,,,,Ground,Main,Main,Main,,,,,,,,Feet,999000,Pc,,N7264030,,,,King,9.01,King,,IMMEDIATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000,,,,33890049,,,,,33:13.0,,,,,,,,,N,New,,Grnbelt/Conserv,Lake Access,Ravine,River/Stream,Waterfront,,,,,COLDWELL BANKER RONAN REALTY,,,,,,,,,,,,,,,,,,,Window,,,,Br,,Window,,,,2nd Br,,Window,,,,3rd Br,,Combined W/Living,Bay Window,,,Dining,,Combined W/Dining,Wood Stove,,,Living,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Electr On Road,Garbage Pickup,Internet High Spd,,,Sale,,,None,,Mixed,,W,,Other,,,,,,< 700,10th Concession,,15140,Rd,A,Other,2598.13,,34:29.0,,https://www.youtube.com/watch?v=PWtpILE-qVQ,,Vacant Land,.V.,,,N,N,N,,None,,,,,,Dock,,,,,,,Lake,Direct,,,,,,,,,,,,,,,,,00:00.0,,2023,,L0G 1T0,,"A Nature Lovers Dream! Your Very Own Private Country Retreat Less Than An Hour From The Hustle & Bustle of Downtown Toronto! An Amazing Opportunity To Own 38 Acres With Your Very Own Cabin In King Township's Prettiest Countryside!  Enjoy Your Morning Coffee On The Front Covered Deck Looking Out At Thomson Lake! So Much To See & Do, Swim, Canoe, Kayak, Hike The Trails, Bird-Watching, Fishing In The Summer Months, Snowshoe, Cross Country Ski, And Toboggan All Winter Long! Existing Cabin With Steel Roof Has Combined Dining/Living Space, 3 Bright Rooms With Windows For Yourself And Your Weekend Guests, Heated By A Wood Burning Stove, Perfect On Cool Fall Evenings & Cold Winter Nights! Build Your Dream Home With Spectacular Views For Miles And Enjoy Your Very Own Cabin In The Woods On The Weekend! An Ideal Commuter Location, Just Minutes To Nobleton, Schomberg, Bolton, Hwy 50/27/427 & 400! Nature, Wildlife, Peace & Tranquility In Less Than An Hour From The GTA!"
Central Air,,,,,20430 Bathurst St,,,,,York,9,,,3,3,1,Fin W/O,,,,,,,,2.5% Plus Hst,,Holland Landing,09.08.0010,W,,Brick,,Ontario,Bathurst / Yonge / Queensville,N,1158,Y,153,Private,,00:00.0,,,,,,,,"Fridge (X2), Stove (X2), B/I Micro And Range, Electric Light Fixture, All Window Coverings, Hot Water Tank (Rental)",,Y,,93.06,Electric,,1,Attached,,,,,Baseboard,,52:06.0,Y,,1,,Lower,00:00.0,,,Pt Lt 20 Con 2 Old Survey King As In R693516; King,Main,,,,Main,Main,Main,Main,Main,Bsmt,Bsmt,Bsmt,,N,,Feet,1998000,Ter,,N7267992,,,,East Gwillimbury,9.08,East Gwillimbury,1,60-90 Days TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998000,Indoor Arena,,,,,12,,,52:22.0,None,,,,,,,,,New,,Golf,Park,River/Stream,School,,,,,,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,,,,,,,,,,,,,,,,,,,Hardwood Floor,Fireplace,O/Looks Frontyard,5.82,Living,3.7,Hardwood Floor,W/O To Deck,,3.9,Dining,3.1,Renovated,Granite Counter,Eat-In Kitchen,3.7,Kitchen,3.1,Hardwood Floor,Double Closet,O/Looks Backyard,4.32,Br,3.7,Hardwood Floor,Closet,O/Looks Frontyard,3.5,2nd Br,3.23,Hardwood Floor,Closet,O/Looks Frontyard,3.55,3rd Br,3.25,Renovated,Granite Counter,Eat-In Kitchen,3.1,Kitchen,2.7,Open Concept,,,6.2,Rec,4.08,Window,Fireplace,,6.2,4th Br,3.89,8,2,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,,Bathurst,,20430,St,U,Bungalow-Raised,2350.83,,34:09.0,24,,,Detached,.D.,,00:00.0,,,N,,Well,,,,,,,,,,,,,,,2,3,4,,,1,Main,1,Bsmt,1,Main,,,,,,00:00.0,,2023,,L9N 1P5,,"You asked for it! For the ""Sports Enthusiast"" This Is It! Lovely Quiet Country Setting But Still Close To All Major Conveniences Of The City. Beautifully Updated Bungalow On Large Private 2.5 Acres (Approx) Lot With An Amazing 3,000 - 3,500 Sq Ft Insulated Sports Dome Having An Office, Family Rm & 2 Pc Bath & Batting Cage. 10 Gallon Compressor, 10 Ft Garage Door, Geo Thermal Heating With It's Own Separate Well, Septic, 200 Amp Service. This Property Has Many Possible Sources Of Income. Sports Domes Currently Used For Baseball Training/Batting Cage. There is so much that can be done with this incredible property. Show with with the utmost confidence! Wait until you view the Dome in person, you won't be disappointed."
Other,,,10-24.99,,16460 Creditview Rd,,,,,Peel,5,,,4,4,1,Part Fin,Unfinished,,,,,,,2.5% + Hst (See Attached),,Rural Caledon,05.01.0050,E,,Board/Batten,,Ontario,Creditview Rd & The Grange Sid,Y,0,Y,328,Private,,,,,,,Y,N,,Please Review Available Marketing Materials Before Booking A Showing. Please Do Not Walk The Property Without An Appointment.,Horse,Y,,0,Electric,,3,Attached,N,N,,,Forced Air,,04:48.0,Y,12.40 Acres (Mpac),1,,Lower,00:00.0,,,"Part Lot 6 Concession 4 Whs Caledon, Part 3 43R158",,,,,,,,,,,,,,,,Feet,3795000,New,,W5979740,,,,Caledon,5.01,Caledon,1,Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3795000,Aux Residences,Barn,,142680160,,15,,,29:01.0,None,,,,,,,,,,,Grnbelt/Conserv,Lake/Pond,Rolling,,,,,,,D. W. GOULD REALTY ADVISORS INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,,,,,,Sale,,,Septic,,,,,,Other,,,,,,2500-3000,Creditview,,16460,Rd,A,1 1/2 Storey,6766.56,,02:09.0,18,https://tours.canadapropertytours.ca/2125621?idx=1,,Rural Resid,.R.,,,N,Y,N,,Well,,,,,,,,,,,,,,Indirect,2,3,4,3,,1,Main,1,2nd,1,2nd,1,Flat,,,Drilled Well,00:00.0,,2022,51-99,L7K 1N6,A2 & Epa2,"+/-12.40 acres of private rolling land.  Exceptionally maintained farm with extensive trails and spring-fed pond. New house build site with a detached apartment over the garage, beautiful barn with 3+ stalls and multiple paddocks + more. See L/A re Kitchen & HVAC have been removed from main house. VTB available."
Central Air,,,25-49.99,,7328 Finnerty Sdrd,,,,,Peel,5,,,5,4,1,Finished,,,,,,,,2.5%plus Hst,,Rural Caledon,05.01.0050,N,,Board/Batten,Stone,Ontario,Finnerty Sdrd & The Gore,Y,1484.31,Y,148,Pvt Double,,00:00.0,,,,,Y,N,N,"SEPARATE GUEST HOUSE 900 SQ FT,   KITCHEN 11'X9'9"",  FAM RM 16'9""X12'7"",W/O TO POOL, CATH CEILING: DIN RM 15'6""X11'10"", BAY WINDOW, OVERLOOKING POND: BEDROOM 18'9""X11'3"", 3 PIECE ENSUITE, CLOSET, OVERLOOKS POND.2 CAR BUILT IN GARAGE.",,Y,N,1131.1,Grnd Srce,,3,Built-In,N,N,,,Forced Air,,16:35.0,Y,34 Acres; Irregular,,,Lower,00:00.0,,,PT LT 31 CON 3 ALBION AS IN R00878186; CALEDON,Main,Lower,,,Main,Main,Main,Main,Main,Main,2nd,Lower,,,,Feet,6300000,Ter,,W7266312,,,,Caledon,5.01,Caledon,2,60 DAYS/TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300000,Aux Residences,Drive Shed,,,,20,,,04:41.0,Inground,,,,,,,,,New,,Golf,Lake/Pond,River/Stream,Rolling,School Bus Route,,,,,SOTHEBY`S INTERNATIONAL REALTY CANADA,Laundry Sink,,,3.46,Laundry,3.35,,,,,,,,,,,,,Stone Fireplace,Hardwood Floor,B/I Bookcase,6.75,Sitting,4.52,Heated Floor,Sliding Doors,W/O To Terrace,5.17,Dining,4.05,Centre Island,Granite Counter,Cathedral Ceiling,5.68,Kitchen,4.04,Cathedral Ceiling,Overlook Water,W/O To Terrace,6.06,Great Rm,5.09,5 Pc Ensuite,W/W Closet,Coffered Ceiling,5.51,Prim Bdrm,4.96,Hardwood Floor,O/Looks Garden,B/I Shelves,4.9,2nd Br,3.49,W/W Closet,Bay Window,Coffered Ceiling,5.38,3rd Br,4.1,3 Pc Ensuite,Closet,B/I Shelves,4.78,4th Br,3.59,B/I Desk,Broadloom,Above Grade Window,7.23,Rec,4.99,11,2,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,3000-3500,Finnerty,,7328,Sdrd,U,1 1/2 Storey,5514,,34:19.0,23,https://unbranded.youriguide.com/3z0g9_7328_finnerty_side_rd_caledon_east_on/,,Rural Resid,.R.,,00:00.0,N,Y,N,,Well,,,,,,,,,,,,,Creek,None,2,5,3,3,4,1,Main,1,Main,1,Main,1,2nd,1,Flat,Dug Well,00:00.0,,2023,51-99,L7K 1C8,,"ONCE IN A LIFETIME THE PERFECT COUNTRY HOME COMES ALONG! CHARMING STONELEA HAS UNDERGONE TWO RENOVATIONS WITH RENOWNED ARCHITECTS NAPIER SIMPSON AND ARMTSTRONG MOLESWORTH ADDING DIMENSION, FLOW AND SPECTACULAR VIEWS FROM EVERY ROOM. THE 34 ACRES  THAT ENVELOPS THIS AMAZING HOME IS TRULY THE MOST BEAUTIFUL THAT CALEDON HAS TO OFFER: TWO PONDS, THE COFFEY CREEK MEANDERING THROUGH, MANICURED TRAILS, WOODS, BIRDS, WILDLIFE PEACE AND SERENITY.  CONVENIENT TO GOLF, TENNIS, BIKING, TOP SCHOOLS, SHOPPING, 40 MINS TO AIRPORT, 50 MINUTES TO THE CITY. THIS IS WHERE DREAMS COME TRUE. PROPERTY IS CURRENTLY UNDER THE FOREST MANAGEMENT PROGRAM."
None,,,.50-1.99,,22 Jacklin Cres,,,,,Parry Sound,23,,,1,2,1,Part Bsmt,Part Fin,,,,,,,2.50%,,,,N,,Vinyl Siding,,Ontario,Jacklin Cres/Lake Joseph Rd,N,199.79,Y,328,Pvt Double,,,,,,,,,,,,N,N,200.9,Electric,,1,Detached,,,,,Baseboard,,12:48.0,Y,,,,,00:00.0,,,Pt Lt 112 Con B Foley As In Ro180202; Seguin,Main,,,,Main,Main,Main,Main,Main,Bsmt,,,,N,,Acres,549900,Ext,,X5979828,,,,Seguin,23.12,Seguin,1,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579900,,,,521800526,,5,,,13:07.0,None,,,,,,,,,Pc,,Campground,Golf,Other,Rec Centre,School,,,,N,PARKER COULTER REALTY BROKERAGE INC.,,,,,,,,,,,,,,,,,,,,,,5.94,Kitchen,4.04,,,,5.11,Living,3.86,,,,3.84,Prim Bdrm,2.87,,,,3.56,2nd Br,2.36,4 Pc Bath,,,2.54,Bathroom,1.24,,,,3.76,Sunroom,2.44,,,,3.56,Br,2.36,,,,,,,,,,,,,6,,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,,Jacklin,,22,Cres,A,Bungalow-Raised,1062,,02:09.0,6,,,Detached,.D.,,,,,N,,Well,,,,,,,,,,,,,,,4,,,,,1,Main,,,,,,,,,Drilled Well,00:00.0,14:22.0,2023,,P2A 2W8,Residential,"Charming Bungalow Nestled In A Prime Muskoka Location, Offering A Tranquil And Picturesque Setting. Situated Close To Several Lakes, Trails, And The School Bus Route, This Property Provides Easy Access To Nature's Wonders. Spanning Across A Generous 0.88-Acre Lot, This Home Boasts Ample Space And Privacy. Step Inside To Discover The Main Floor, Where You'll Find A Thoughtfully Designed Layout. The Foyer Welcomes You Into The Home, Leading You To The Dining Area, Kitchen, And A Spacious Living Room. The Primary Bedroom Offers A Comfortable Retreat, While A Well-Appointed 4-Piece Bath And Laundry Room Provide Convenience And Functionality. The Main Floor Also Features A Bright Sunroom, Overlooking The Backyard And Allowing An Abundance Of Natural Light To Fill The Space. Venture Downstairs To The Basement, Where You'll Find A Large Workshop. An Additional Bedroom Adds Versatility And Extra Living Space To Accommodate Your Needs."
Central Air,,,25-49.99,,1065 Concession 3 Rd,,,,,Niagara,46,2023,N,2,4,,Unfinished,Walk-Up,,,,,,,2%+Hst,,,,N,,Alum Siding,Stone,Ontario,"North Of Line 5, End Of Street",N,1003.67,Y,296,Circular,,,,,,,Y,,Y,"It is the purchaser's responsibility to obtain planning and use approvals to their requirements. Professional property use consultants familiar with this area, zonings, allowed uses are available.",Other,Y,N,120.64,Gas,,2,Attached,Y,N,,,Forced Air,,44:46.0,Y,28.5,,,Main,00:00.0,,,PT TWP LT 60 NIAGARA PT 2,Main,2nd,2nd,2nd,Main,Main,Main,Main,Main,Main,Main,2nd,,N,,Acres,3499000,Ext,,X6142812,,,,Niagara-on-the-Lake,46.04,Niagara-on-the-Lake,1,30-90 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3499000,,,,463810166,,10,,,05:44.0,None,,,,,,,,N,Exp,,Tiled,,,,,,,,,SUTTON GROUP - SUMMIT REALTY INC.,O/Looks Frontyard,,,3.71,3rd Br,5.38,O/Looks Backyard,,,7.57,4th Br,4.1,4 Pc Bath,,,1.99,Bathroom,2.92,Hardwood Floor,Open Stairs,,2.05,Foyer,3.01,Hardwood Floor,2 Way Fireplace,O/Looks Backyard,5.7,Living,7.89,Hardwood Floor,Combined W/Kitchen,,4.41,Dining,2.97,Open Concept,O/Looks Backyard,Pantry,3.71,Kitchen,3.52,,,,2.46,Laundry,1.91,,,,3.54,Office,3.66,2 Way Fireplace,W/I Closet,,4.31,Prim Bdrm,5.42,5 Pc Bath,Double Sink,Soaker,4.31,Bathroom,2.97,,,,3.54,2nd Br,3.66,10,,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,2000-2500,Concession 3,,1065,Rd,A,2-Storey,5880,,00:40.0,12,https://www.listedhq.com/1065concession3rd?mls,1251000,Detached,.D.,,,,Y,N,,Municipal,,,,,,,,,,,,,,,5,4,,,,1,Main,1,2nd,,,,,,,,00:00.0,10:37.0,2022,16-30,L0S 1J0,Agricultural,"No concessions need to be made on this brag-worthy custom-built home that was designed to drink up every ounce of sunlight and private vineyard views. Savour the advantage of a mature income-producing vineyard on ~28.5 acres boasting overhead irrigation, & 4 windmills. With the potential to hold an estate winery designation, this parcel of prestige boasts 2.7 acres of Riesling, 6.2 acres of Cabernet Sauvignon, 4.1 acres of Gamay, 4 acres of Vidal, & 7.4 acres of the prominent Dornfelder. 2-road access separates the secluded residence from commercial endeavors and a variety of agri-business potential, including a mature walnut grove that would serve well for an off-the-grid tiny house with high STR income. High-quality soil produces grapes of exceptional character & supplies some of the region's major wine producers (while helping to nicely offset the mortgage payments!). A tree-lined gateway to an idyllic lifestyle where luxury, charm, & the allure of the wine country converge."
Other,,,2-4.99,,N/A Lahey Rd,,,,,Hastings,28,,,0,,,None,,,,,,,,2.50%,,,,S,,,,Ontario,Bronsin Rapids Road,N,517.98,Y,196,,,,,,,,A,,,,,N,,345.17,Other,,,None,N,N,,,Other,,48:32.0,Y,345.17' X 278.00' X 246.28' X 517.98',,,,00:00.0,,,PT LT 5 CON 13 HUNTINGDON PT 2 21R3960; CENTRE HAS,,,,,,,,,,,,,,,,Feet,249900,Exp,,X7006480,,,,Centre Hastings,28.12,Centre Hastings,,Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900,,,,,,,,,48:37.0,None,,,,,,,,,New,,,,,,,,,,,CENTURY 21 UNITED REALTY INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Lahey,,N/A,Rd,U,Other,1023.67,,43:19.0,,,,Vacant Land,.V.,,00:00.0,A,A,N,,None,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,Unknown,00:00.0,,2023,,K0K 2K0,RU,"A great opportunity to build your forever home! At 2.3 acres this lot is fairly level at the road frontage with easy access and some previous clearing done. The remainder of the lot offers a well treed area for great privacy. A short distance to all amenities, schools and medical care. Please not the property does not back onto the water directly with another parcel in between. For more details feel free to connect further!"
