A_c,Access_prop1,Access_prop2,Addl_mo_fee,Addr,All_inc,Alt_power1,Alt_power2,Apt_num,Area,Area_code,Ass_year,Assignment,Bath_tot,Bldg_amen1_out,Bldg_amen2_out,Bldg_amen3_out,Bldg_amen4_out,Bldg_amen5_out,Bldg_amen6_out,Br,Br_plus,Bsmt1_out,Bsmt2_out,Cable,Cac_inc,Cd,Central_vac,Cert_lvl,Cndsold_xd,Com_coopb,Comel_inc,Community,Community_code,Cond,Cond_txinc,Condo_corp,Condo_exp,Constr1_out,Constr2_out,Corp_num,County,Cross_st,Den_fr,Disp_addr,Dom,Dt_sus,Dt_ter,Easement_rest1,Easement_rest2,Easement_rest3,Easement_rest4,Elevator,Energy_cert,Ens_lndry,Extras,Fpl_num,Fractional_ownership,Fuel,Furnished,Gar,Gar_type,Green_pis,Handi_equipped,Heat_inc,Heating,Hydro_inc,Input_date,Insur_bldg,Internet,Kit_plus,Laundry,Laundry_lev,Ld,Level1,Level10,Level11,Level12,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Locker,Locker_lev_unit,Locker_num,Locker_unit,Lp_dol,Lsc,Maint,Ml_num,Mmap_col,Mmap_page,Mmap_row,Municipality,Municipality_code,Municipality_district,Num_kit,Occ,Oh_date1,Oh_date2,Oh_date3,Oh_date4,Oh_date5,Oh_date6,Oh_dt_stamp,Oh_from1,Oh_from2,Oh_from3,Oh_from4,Oh_from5,Oh_from6,Oh_Link1,Oh_Link2,Oh_Link3,Oh_Link4,Oh_Link5,Oh_Link6,Oh_to1,Oh_to2,Oh_to3,Oh_to4,Oh_to5,Oh_to6,Oh_Type1,Oh_Type2,Oh_Type3,Oh_Type4,Oh_Type5,Oh_Type6,Orig_dol,Outof_area,Parcel_id,Park_chgs,Park_desig,Park_desig_2,Park_fac,Park_lgl_desc1,Park_lgl_desc2,Park_spc1,Park_spc2,Park_spcs,Patio_ter,Perc_dif,Pets,Pix_updt,Portion_lease_comments,Portion_property_lease_srch,Portion_property_lease1_out,Portion_property_lease2_out,Portion_property_lease3_out,Portion_property_lease4_out,Poss_date,Pr_lsc,Prkg_inc,Prop_feat1_out,Prop_feat2_out,Prop_feat3_out,Prop_feat4_out,Prop_feat5_out,Prop_feat6_out,Prop_mgmt,Pvt_ent,Retirement,Rltr,Rm1_dc1_out,Rm1_dc2_out,Rm1_dc3_out,Rm1_len,Rm1_out,Rm1_wth,Rm10_dc1_out,Rm10_dc2_out,Rm10_dc3_out,Rm10_len,Rm10_out,Rm10_wth,Rm11_dc1_out,Rm11_dc2_out,Rm11_dc3_out,Rm11_len,Rm11_out,Rm11_wth,Rm12_dc1_out,Rm12_dc2_out,Rm12_dc3_out,Rm12_len,Rm12_out,Rm12_wth,Rm2_dc1_out,Rm2_dc2_out,Rm2_dc3_out,Rm2_len,Rm2_out,Rm2_wth,Rm3_dc1_out,Rm3_dc2_out,Rm3_dc3_out,Rm3_len,Rm3_out,Rm3_wth,Rm4_dc1_out,Rm4_dc2_out,Rm4_dc3_out,Rm4_len,Rm4_out,Rm4_wth,Rm5_dc1_out,Rm5_dc2_out,Rm5_dc3_out,Rm5_len,Rm5_out,Rm5_wth,Rm6_dc1_out,Rm6_dc2_out,Rm6_dc3_out,Rm6_len,Rm6_out,Rm6_wth,Rm7_dc1_out,Rm7_dc2_out,Rm7_dc3_out,Rm7_len,Rm7_out,Rm7_wth,Rm8_dc1_out,Rm8_dc2_out,Rm8_dc3_out,Rm8_len,Rm8_out,Rm8_wth,Rm9_dc1_out,Rm9_dc2_out,Rm9_dc3_out,Rm9_len,Rm9_out,Rm9_wth,Rms,Rooms_plus,Rural_svc1,Rural_svc2,Rural_svc3,Rural_svc4,Rural_svc5,S_r,Secgrd_sys,Sewage1,Sewage2,Share_perc,Shore_allow,Shoreline_exp,Shoreline1,Shoreline2,Sp_dol,Spec_des1_out,Spec_des2_out,Spec_des3_out,Spec_des4_out,Spec_des5_out,Spec_des6_out,Sqft,St,St_dir,St_num,St_sfx,Status,Stories,Style,Taxes,Td,Timestamp_sql,Tot_park_spcs,Tour_url,Tv,Type_own_srch,Type_own1_out,Uffi,Unavail_dt,Unit_num,Vend_pis,Vtour_updt,Water_acc_bldg1,Water_acc_bldg2,Water_body,Water_del_feat1,Water_del_feat2,Water_feat1,Water_feat2,Water_feat3,Water_feat4,Water_feat5,Water_front,Water_inc,Water_type,Wcloset_p1,Wcloset_p2,Wcloset_p3,Wcloset_p4,Wcloset_p5,Wcloset_t1,Wcloset_t1lvl,Wcloset_t2,Wcloset_t2lvl,Wcloset_t3,Wcloset_t3lvl,Wcloset_t4,Wcloset_t4lvl,Wcloset_t5,Wcloset_t5lvl,Xd,Xdtd,Yr,Yr_built,Zip,Zoning,Ad_text
,,,,725 Aberdeen Blvd,,,,78,Simcoe,4,2023,,0,,,,,,,0,,None,,,,,,,,$625.00 ,,Midland,04.07.0010,,,SVLCC,N,Other,,358,Ontario,Yonge St. & Aberdeen Blvd.,N,Y,300,,,,,,,,,,,,,Other,,0,None,,,,,Y,30:36.0,Y,Y,,,,00:00.0,,,,,,,,,,,,,None,,,,15750,Pc,65.2,S6144880,,,,Midland,4.07,Midland,0,TBD/Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500,,593580078,,None,None,Other,,,78,,0,None,,Restrict,30:39.0,,,,,,,,Ext,,Beach,Lake Access,Marina,,,,Tiffin Marina Corporation,,,INTERCITY REALTY INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sale,,,,0,,,,,,Unknown,,,,,,0-499,Aberdeen,,725,Blvd,A,1,Other,213.84,,27:03.0,0,,14000,.O.,Other,,,78,N,,,,,,,,,,,,,Y,,0,0,,,,0,,0,,,,,,,,00:00.0,45:53.0,2022,Nov-15,L4R 5P3,MC2,"**Season Opening Sale Price held for purchases secured with deposit prior to May 15th 2024**                         25' TIFFIN MARINA BOAT SLIP. Welcome To Triffin Pier Marina! Your Access Point To Beautiful Georgian Bay Awaits! This Deep Water Marina Offers Convenient Electrical & Water Hook Ups Right At Your Slip, Private Washrooms & Showers And The Comfort of 24/7 Security Monitoring. With Direct Access To The Trans Canada Trail You Can Take Advantage Of All That Beautiful Downtown Midland Has To Offer Such As Restaurants And Shopping. ** List price + HST**"
Central Air,,,,1800 The Collegeway Way,,,,Gt01,Peel,5,,,2,Concierge,Gym,Indoor Pool,Party/Meeting Room,Sauna,Visitor Parking,2,0,None,,Y,Y,,,,,2.5% + Hst,Y,Erin Mills,05.03.0080,,,PCC,Nw,Concrete,,477,Ontario,Collegeway / Erin Mills Pkwy,Y,Y,41,,,,,,,Y,N,,"Maintenance fees are ALL inclusive, just pay taxes.",N,,Gas,,1,Underground,N,N,Y,Forced Air,Y,32:36.0,Y,Y,,Ensuite,Main,00:00.0,Main,,,,Main,Main,Main,Main,Main,Main,Main,,Owned,P2,238,238,1029900,Pc,1375.56,W8084548,,,,Mississauga,5.03,Mississauga,1,TBA - FLEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099900,,194470440,,Common,,Undergrnd,P2 - 125,,,,1,Terr,,Restrict,32:54.0,,,,,,,,New,Y,Park,Public Transit,Rec Centre,River/Stream,School,,Crossbridge Condominium Services - 905-569-7326,,N,ROYAL LEPAGE REALTY PLUS,Marble Floor,Coffered Ceiling,Mirrored Ceiling,2.8,Foyer,2.72,,,,,,,,,,,,,,,,,,,,,,,Laundry,,,W/O To Patio,Formal Rm,4.95,Family,4.78,,Separate Rm,O/Looks Garden,4.38,Dining,3.24,Quartz Counter,Eat-In Kitchen,W/O To Patio,6.27,Kitchen,3.05,Ceramic Floor,4 Pc Bath,,,Bathroom,,W/O To Patio,W/I Closet,4 Pc Ensuite,5.34,Prim Bdrm,4.9,W/O To Patio,Double Closet,,6.68,2nd Br,3.1,,,,,,,0,0,,,,,,Sale,,,,,,,,,,Unknown,,,,,,1400-1599,The Collegeway,,1800,Way,A,A,Apartment,4522,,17:50.0,125,https://unbranded.youriguide.com/gt01_1800_the_collegeway_mississauga_on/,,.C.,Condo Apt,,,1,N,,,,,,,,,,,,,Y,,3,4,,,,1,Main,1,Main,,,,,,,00:00.0,,2024,16-30,L5L 5S4,,"Experience luxury living at its finest at the prestigious Granite Gates. This stunning approx 1600 sq ft fully renovated ground floor condo offers unparalleled elegance and sophistication with modern finishes. Soaring 9-foot ceilings with floor-to-ceiling windows flood the space with natural light. The functional layout seamlessly blends living, kitchen, and dining spaces. Oversized primary bedroom suite w/ modern bathroom featuring walk-in shower provides a sanctuary of comfort. An approx 1000 sqft private terrace and garden w/ sep entry, is perfect for outdoor dining as well as a small dog. The exceptional amenities include pool, gym, and 24-hour concierge service. Nestled in the heart of Erin Mills, with walking trails, parks, and shopping at your doorstep, don't miss the opportunity to live in one of Mississauga's most coveted communities."
Central Air,,,,781 Erie St E,,,,201,Essex,50,,,2,Rooftop Deck/Garden,,,,,,2,,Unfinished,,,,,,,,2.00%,Y,,,,,TBA,Ne,Brick,,0,Ontario,Marentette,Y,Y,154,,,,,,,Y,,,LIGHT FIXTURES ARE INTER-CHANGABLE THROUGHOUT UNIT WITH OTHER OPTIONS AVAILABLE (INCLUDED),Y,,Gas,,1,Built-In,,,,Forced Air,,28:04.0,Y,Y,,Ensuite,Main,00:00.0,,,,,,,,,,,,,Owned,Bas,Tba,Tba,619990,New,375,X7264502,,,,Windsor,50.01,Windsor,1,45-60 DAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619990,,11650871,,Owned,,Private,Tba,,,,0,Open,,Restrict,28:11.0,,,,,,,00:00.0,,,Public Transit,Rec Centre,School,School Bus Route,,,Tba,,,RE/MAX PARAMOUNT REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,1200-1399,Erie,E,781,St,A,2,Apartment,0,,34:09.0,1,,,.2.,Comm Element Condo,,,201,N,,,,,,,,,,,,,Y,,3,,,,,2,Main,,,,,,,,,00:00.0,,2023,New,N9A 3Y3,RES,"Welcome to the newest edition to Erie St- Bella Vista Condominiums. These upscale luxury condos are conveniently located in the heart of Erie St. with amenities just steps away from your door. Beautifully designed 2 bedroom, 2 bathroom corner unit condo boasts a perfect blend of modern elegance and urban convenience. Open concept living room, dining area, with lots of natural light throughout. Large kitchen with waterfall sit up island. Exposed 9' 9"" foot ceilings creating an open and airy living space. Primary room features 3pc ensuite bathroom. Ceramic tile floors throughout & custom cabinetry, stainless steel appliances's, ensuite laundry & private balcony overlooking Erie St. This condo offers a rare opportunity to live in a space that seamlessly blends, comfort, luxury, sophistication and urban convenience. Unit comes with parking & locker. Rooftop amenity space for tenants with 365 degree views of city."
Central Air,,,,781 Erie St E,,,,301,Essex,50,,,2,Bike Storage,Rooftop Deck/Garden,,,,,2,,Unfinished,,,,,,,,2.00%,Y,,,,,TBA,Ne,Brick,,0,Ontario,Marentette,Y,Y,154,,,,,,,,,,Additional options available for light fixtures - included,Y,,Gas,,5,Built-In,,,,Forced Air,,33:02.0,Y,Y,,Ensuite,,00:00.0,,,,,,,,,,,,,Owned,Bas,Tba,Tba,619990,New,375,X7264538,,,,Windsor,50.01,Windsor,1,45-60 DAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619990,,11650871,,Owned,,None,Main,,Tba,,0,Open,,Restrict,33:19.0,,,,,,,00:00.0,,Y,Public Transit,Rec Centre,School,School Bus Route,,,Tba,,,RE/MAX PARAMOUNT REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,1200-1399,Erie,E,781,St,A,3,Apartment,0,,34:10.0,1,,,.2.,Comm Element Condo,,,301,N,,,,,,,,,,,,,Y,,3,,,,,2,Main,,,,,,,,,00:00.0,,2023,New,N9A 3Y3,RES,"Welcome to the newest edition to Erie St- Bella Vista Condominiums. These upscale luxury condos are conveniently located in the heart of Erie St. with amenities just steps away from your door. Beautifully designed 3rd floor 2 bedroom, 2 bathroom corner unit condo boasts a perfect blend of modern elegance and urban convenience. Open concept living room, dining area, with lots of natural light throughout. Large kitchen with waterfall sit up island. Exposed 9' 9"" foot ceilings creating an open and airy living space. Primary room features ensuite bathroom. Ceramic tile floors throughout & custom cabinetry, stainless steel appliances's, ensuite laundry & balcony overlooking Erie St. This condo offers a rare opportunity to live in a space that seamlessly blends, comfort, luxury, sophistication and urban convenience. Unit comes with secured garage parking & locker. Rooftop Amenity space for all residence with 365 degree views of the city. Schedule a viewing today."
Central Air,,,,2A Church St,,,,2305,Toronto,1,,,2,Concierge,Exercise Room,Outdoor Pool,Party/Meeting Room,,,2,,None,,,Y,,,,,Half Month Plus Hst,Y,Waterfront Communities C8,01.C08.1002,,,TSCC,Sw,Brick,,2891,Ontario,The Esplanade/Church,N,Y,152,,,,,,,,,,"Fridge, Stove, Dishwasher, Washer, Dryer, All Electrical Light Fixtures. Parking Included.",Y,,Gas,N,1,Underground,,,,Forced Air,,28:49.0,Y,Y,,Ensuite,,00:00.0,Flat,,,,Flat,Flat,Flat,Flat,,,,,None,,,,3600,Exp,,C7268264,,,,Toronto,01.C08,Toronto C08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,,Owned,,Undergrnd,,,,,1,Open,,Restrict,28:55.0,,.AA.,Entire Property,,,,00:00.0,New,Y,Arts Centre,Hospital,Library,Park,Public Transit,,Icon Property Management,N,,PREMIER MATRIX REALTY LTD.,Laminate,Combined W/Dining,W/O To Balcony,4.57,Living,3.89,,,,,,,,,,,,,,,,,,,Laminate,Combined W/Living,Open Concept,4.57,Dining,3.89,Laminate,Stainless Steel Appl,Modern Kitchen,4.57,Kitchen,3.89,3 Pc Ensuite,W/I Closet,Large Window,4.32,Prim Bdrm,2.97,Laminate,Large Closet,Large Window,3.46,2nd Br,2.74,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,Lease,,,,,,,,,,Unknown,,,,,,800-899,Church,,2A,St,U,23,Apartment,,,34:10.0,1,,,.C.,Condo Apt,,00:00.0,5,N,,,,,,,,,,,,,,,3,4,,,,1,,1,,,,,,,,00:00.0,,,0-5,M5E 0E1,,"*Dec 1 Move IN* Spacious 2 Bed, 2 Bath Premium Corner Suite In 2A Church. Never Lived! 809Sqft With Lake & City Views From Your Large 101Sqft Balcony. S/S Appliances, Stone Counters, Engineered Flooring & Floor To Ceiling Windows. Mins To Financial District, Subway & Union Stations. Few Steps To St Lawrence Market, Distillery District, Restaurants, Shops, Waterfront, Parks & Hwy. Amazing Amenities: Gym, Indoor Pool, Guest Suite, Party, Sauna, Security & More. Parking Included."
Central Air,,,,33 Lombard St,,,,2005,Toronto,1,,,1,Concierge,Guest Suites,Gym,Rooftop Deck/Garden,Sauna,Visitor Parking,1,,None,,,Y,,,,,2.5% + Hst,Y,Church-Yonge Corridor,01.C08.0910,,,TSCC,N,Concrete,,1864,Ontario,Church/Adelaide,N,Y,152,,,,,,,,,,Walk Score 100. Transit Score 100. Bike Score 94.,N,,Gas,,0,Underground,,,Y,Forced Air,,27:56.0,Y,Y,,Ensuite,Main,00:00.0,Main,,,,Main,Main,Main,,,,,,Owned,,,,549000,Ext,460.8,C7272898,,,,Toronto,01.C08,Toronto C08,1,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000,,,,None,,None,,,,,0,Open,,Restrict,28:03.0,,,,,,,,New,,Arts Centre,Hospital,Park,Public Transit,School,,Y.L. Hendler 416 363 5700,,,CHESTNUT PARK REAL ESTATE LIMITED,Hardwood Floor,Open Concept,W/O To Balcony,5.06,Living,3.58,,,,,,,,,,,,,,,,,,,Hardwood Floor,Combined W/Living,,3.58,Dining,5.06,Modern Kitchen,Track Lights,Combined W/Dining,5.06,Kitchen,3.58,Hardwood Floor,Open Concept,Double Closet,2.62,Br,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,500-599,Lombard,,33,St,A,20,Apartment,2212,,01:00.0,0,,,.C.,Condo Apt,,,5,N,,,,,,,,,,,,,Y,,4,,,,,1,Main,,,,,,,,,00:00.0,16:31.0,2023,,M5C 1L9,,"Highly desirable Spire Condo! Perfectly situated in Toronto's vibrant core. Steps to the Financial District, St Lawrence Market, Distillery, King St, Design District, & Public Transit, Not to mention the countless boutiques, fashionable restaurants and bars. Modern open concept living complimented by 9' ceilings, floor to ceiling windows and walk-out balcony. Many upgrades! Highly functional built-in custom millwork; home office space, tv media centre, open storage for books and cabinetry for hidden storage."
Central Air,,,,621 Sheppard Ave E,,,,B-67,Toronto,1,,,0,Bbqs Allowed,Concierge,Exercise Room,Party/Meeting Room,,,,,None,,,Y,,,,,2.5% Plus Hst,Y,Bayview Village,01.C15.0570,,Y,TSCC,S,Concrete,Stucco/Plaster,2757,Ontario,Bayview / Sheppard,N,Y,151,,,,,,,Y,,,,Y,N,Gas,,1,Underground,,,Y,Forced Air,,02:53.0,Y,Y,,,Main,00:00.0,Ground,,,,,,,,,,,,None,,,,59990,New,51.35,C7273990,,,,Toronto,01.C15,Toronto C15,,30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59990,,,,Owned,,Undergrnd,B,,67,,1,Open,,Restrict,02:54.0,,,,,,,00:00.0,,Y,Library,Park,Public Transit,Rec Centre,School,,Legacy Property Management,,,RE/MAX HALLMARK REALTY LTD.,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,,,,,,,,Accessibility,Other,,,,,800-899,Sheppard,E,621,Ave,A,B,Apartment,316,,34:00.0,1,,,.@.,Parking Space,,,67 -,N,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,00:00.0,,2023,0-5,M2K 0G4,,One Parking for Sale at VIDA Condos - Buyers must owned a unit in the building.
Central Air,,,,90 Highland Dr,,,,2306-07,Simcoe,4,,,2,Exercise Room,Gym,Indoor Pool,Outdoor Pool,Party/Meeting Room,Sauna,2,,None,,,,,,,,2.5% + Hst,Y,Horseshoe Valley,04.16.0030,,,SSCP,Ne,Shingle,Wood,491,Ontario,Horseshoe Valley Rd & Line 3,Y,Y,152,,,,,,,N,,,"Corner Unit! Fully Furnished. Hot Indoor Swimming W/Snow View & Outdoor Pool, Fire Pits, Bbq Stations In Summer Indoor Fitness Center, A Relaxing Spa And A Variety Of Dining. See 3D Tour",Y,,Gas,,0,None,,,,Forced Air,,15:15.0,Y,Y,1,Ensuite,Main,00:00.0,Flat,,,,Flat,Flat,Flat,Flat,Flat,Flat,,,None,,,,657000,Ext,1129.89,S7271484,,,,Oro-Medonte,4.16,Oro-Medonte,1,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657000,,594910360,,Owned,,None,,,#184,,1,Terr,,Restrict,15:29.0,,,,,,,,New,Y,Grnbelt/Conserv,Ravine,Rec Centre,,,,Percel,,N,SUTTON GROUP-ADMIRAL REALTY INC.,Laminate,Pot Lights,W/O To Deck,5.92,Living,4.57,,,,,,,,,,,,,,,,,,,Laminate,Fireplace,Open Concept,5.92,Dining,4.57,Stainless Steel Appl,Stone Counter,Centre Island,3.13,Kitchen,2.5,Laminate,6 Pc Ensuite,Double Closet,4.55,Prim Bdrm,3.66,Stone Counter,Separate Shower,Double Sink,,Bathroom,,Laminate,3 Pc Ensuite,Double Closet,7.32,Great Rm,3.89,Laminate,W/O To Balcony,Open Concept,,Kitchen,,,,,,,,,,,,,,6,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,1400-1599,Highland,,90,Dr,A,2,Apartment,4383.18,,34:00.0,1,https://www.winsold.com/tour/240585,,.T.,Condo Townhouse,,,19,N,,,,,,,,,,,,,,,6,3,,,,1,Flat,1,Flat,,,,,,,00:00.0,31:43.0,2024,,L0L 2X0,Residential,"Urban Lifestyle Spectacular Condo With Nature Retreat Around!Backing Onto Ravine!Unique Combination Of 2 Self-Contained Units: 1 bdrm Apartment & Studio Apartment Over 1400 Sq Ft Total,With Kitchen, Bathroom, Balcony Each.Can Be Your Prime Residence Home Or A Combination Of Vacation Home & Investment Property W/4 Season Year-Round Income: Airbnb, Vrbo,Long Or Short Term Lease Is Permitted. Modern, Fully Luxury Upgraded T-Out:New Floors,Stone C-Tops,Pot Lights,Stylish Design & Decor.Amazing Layout.Comfortably & Tastefully Furnished. Great Common Elements Amenities:Concierge, Exercise Room, Gym, Indoor Outdoor Pool, Sauna, BBQ Firepit Area, Recreation Room.Ideal Place For Sports & Nature Lovers: Minutes From Snowmobiling, Skiing, Dirt Bikes Trails, Hiking-Trekking & Mountain Bike Trails, Tree Top Trekking, Championship Outdoor Golf & State Of Art Indoor Golf Zone, Nordic Spa & More To Enjoy Life! 1 Hour North Of Toronto,15 Min To Barrie,10 MinTo Highway 400 & 6 MinTo Downtown Craighurst"
Central Air,,,,100 Burloak Dr,,,,1302,Halton,6,2023,N,1,Concierge,Exercise Room,Gym,Indoor Pool,Visitor Parking,,1,,None,,,Y,00:00.0,,,,2+Hst 1%reduction If Shown To Buyer Byla,Y,Appleby,06.02.0210,,,HCC,N,Brick,Other,377,Ontario,Burloak And Lakeshore,N,Y,153,,,,,,,Y,N,,,N,N,Electric,,1,Underground,N,Y,Y,Heat Pump,,50:21.0,Y,Y,,Ensuite,Main,00:00.0,Main,,,,Main,Main,Main,,,,,,Exclusive,,23,,419900,Sld,644.12,W7265246,,,,Burlington,6.02,Burlington,1,Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419900,,25679009,0,Exclusive,,None,,,146,,0,Open,95,Restrict,50:47.0,,,,,,,,Sc,Y,Lake/Pond,,,,,,Wilson Blanchard,,Y,REALTY WORLD LEGACY,,,,2.62,Kitchen,2.57,,,,,,,,,,,,,,,,,,,Combined W/Dining,,,3.45,Living,5.33,,,,3.53,Br,3,3 Pc Bath,,,,Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,Sale,,,,,,,,,400000,Unknown,,,,,,600-699,Burloak,,100,Dr,U,3,Apartment,1663,00:00.0,37:31.0,1,https://unbranded.youriguide.com/1302_100_burloak_dr_burlington_on/,193000,.C.,Condo Apt,,00:00.0,18,N,,,,,,,,,,,,,Y,,3,,,,,1,Main,,,,,,,,,00:00.0,,2023,16-30,L7L 6P6,,"Retire in style at Hearthstone by the Lake. This One bedroom unit has recent flooring and updates. Live independently or make use of the numerous amenities available to residents like indoor pool, onsite dining room, library, lounge, gym, exercise programs, aquafit, concierge, the list goes on. Walk to Lake Ontario or stroll the beautifully landscaped grounds. This unit has a balcony overlooking the courtyard, one underground parking space and a locker. The entertainment unit and existing appliances are included if you like."
Central Air,,,,55 Port St E,,,,202,Peel,5,,,4,Concierge,Party/Meeting Room,Visitor Parking,,,,3,,None,,,Y,,,,,3% Plus Hst,Y,Port Credit,05.03.0260,,,0,S,Brick,Other,0,Ontario,Lakeshore And Hurontario,N,Y,147,,,,,,,,,,"Imported Muti Italian Kitchen. Miele Fridge, Gas Cooktop, Built-In Oven/Microwave Combo, Dishwasher, Washer/Dryer, Wine Fridge. Smart One Home System With Remote Home Control, Digital Door Camera. Bbq Gas Hookup On Terrace.",N,,Gas,,3,Underground,,,Y,Fan Coil,,56:15.0,Y,Y,,Ensuite,Main,00:00.0,Main,,,,Main,Main,Main,Main,Main,,,,Owned,,,,3890000,Exp,1998,W7270704,,,,Mississauga,5.03,Mississauga,1,Mar-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890000,,,,Owned,Owned,Undergrnd,,,,,0,Terr,,Restrict,57:32.0,,,,,,,,New,Y,Lake/Pond,Library,Marina,Park,Public Transit,Rec Centre,Tbd,,,RE/MAX REALTY ENTERPRISES INC.,Open Concept,Centre Island,Pantry,5.82,Kitchen,4.79,,,,,,,,,,,,,,,,,,,Open Concept,Window Flr To Ceil,W/O To Terrace,6.55,Living,4.9,Open Concept,Window Flr To Ceil,W/O To Terrace,3.74,Dining,4.53,5 Pc Ensuite,W/I Closet,W/O To Terrace,4.83,Prim Bdrm,3.52,3 Pc Ensuite,Double Closet,Large Window,3.69,2nd Br,3.21,3 Pc Ensuite,W/I Closet,Large Window,3.42,3rd Br,3.99,,,,,,,,,,,,,,,,,,,6,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,2500-2749,Port,E,55,St,U,2,Apartment,0,,34:00.0,3,,,.C.,Condo Apt,,00:00.0,2,N,,,,,,,,,,,,,,,5,2,3,3,,1,Main,1,Main,1,Main,1,Main,,,00:00.0,,2023,New,L5G 4P3,,"Direct Waterfront Living. Two extra large terraces with amazing views of the water. Rare 3 bedroom all with ensuites. Live In This Exclusive Waterfront Boutique Building; Ultra Modern & Luxurious. South and South West views. Bright & Light. 2560 sq feet of luxury. The Very Spacious Great Room Has An Extra Large Kitchen Island incl high end appliances and a Built-In Wine Fridge, large pantry wall and several walk outs to both large terraces. The Laundry room is an actual room with sink. There are 4 bathrooms in total. TONS of storage. The Master Has A 5 Pc Spa Retreat and a walk out to one of the two terraces this suite has. This is a must-see!"
Central Air,,,,2300 Upper Middle Rd W,,,,101,Halton,6,2023,N,1,Bbqs Allowed,Exercise Room,Party/Meeting Room,Visitor Parking,,,1,1,None,,,Y,,,,,2.5%+Hst,Y,Glen Abbey,06.04.0040,,,HALTON,N,Brick,Concrete,647,Ontario,Upper Middle And Bronte,N,Y,149,,,,,,,Y,N,,,N,N,Gas,,1,Underground,N,N,,Forced Air,,39:48.0,,Y,,Ensuite,Main,00:00.0,Flat,,,,Flat,Flat,Flat,Flat,Flat,,,,Owned,1,27,27,729900,Exp,463.06,W7272354,,,,Oakville,6.04,Oakville,1,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749900,,259490278,,Owned,,Facilities,1,,37,,1,Terr,,Restrict,03:33.0,,,,,,,,Ext,,Golf,Grnbelt/Conserv,Hospital,Library,Park,Public Transit,Signature Property Management,,N,ROYAL LEPAGE FIRST CONTACT REALTY,Hardwood Floor,Crown Moulding,W/W Closet,4.93,Br,2.97,,,,,,,,,,,,,,,,,,,Hardwood Floor,Crown Moulding,,2.39,Den,2.08,Granite Counter,Backsplash,B/I Microwave,3.4,Kitchen,2.97,Hardwood Floor,Combined W/Dining,Crown Moulding,4.93,Living,2.97,Crown Moulding,Hardwood Floor,,2.62,Foyer,1.93,4 Pc Ensuite,Granite Counter,,,Bathroom,,,,,,,,,,,,,,,,,,,,4,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,700-799,Upper Middle,W,2300,Rd,U,1,Apartment,2691.95,,34:00.0,1,,354000,.2.,Comm Element Condo,No,00:00.0,101,Y,,,,,,,,,,,,,Y,,4,,,,,1,Flat,,,,,,,,,00:00.0,45:24.0,2023,06-Oct,L6M 0T4,Residential,"This elegant ground floor unit is located in a low rise condominium complex in Oakville's Glen Abbey district.  This condo offers soaring 10 ft. ceilings, granite countertops, crown moulding, and hardwood floors throughout.  There's a private patio and the building backs onto green space - part of Bronte Conservation area.  In suite laundry is available and the complex has a monitored security system. A party room, gym, and library are available for residents, adding to a luxurious living experience.  Parks and trails surround the area.  Glen Abbey golf course and Bronte Marina are nearby. The library, recreation centre and grocery stores are within walking distance.  Sheridan College, Oakville Trafalgar Memorial hospital, Oakville Place shopping mall, several daycares, elementary schools, and high schools are located nearby in the vicinity.  The condo is conveniently situated between two major highways 407 and 403, and minutes from the Bronte GO Train Station."
